Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,5,6,3892,-12
2,7,8,3824,-68
3,13,15,3822,-2
4,16,8,3796,-26
5,6,10,3764,-32
6,10,0,3760,-4
7,4,5,3754,-6
8,2,5,3716,-38
9,19,3,3680,-36
10,12,4,3662,-18
11,15,2,3648,-14
12,0,15,3644,-4
13,9,15,3642,-2
14,0,1,3636,-6
15,9,0,3634,-2
