Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,8,9,3854,-50
2,14,15,3852,-2
3,19,0,3832,-20
4,18,5,3820,-12
5,10,15,3816,-4
6,1,3,3814,-2
7,5,10,3786,-28
8,6,7,3754,-32
9,13,16,3752,-2
10,0,9,3744,-8
11,3,13,3704,-40
12,16,0,3694,-10
13,4,1,3682,-12
14,2,10,3672,-10
15,14,0,3666,-6
16,10,1,3664,-2
17,1,14,3662,-2
18,5,14,3660,-2
19,6,7,3656,-4
20,13,0,3650,-6
21,0,8,3648,-2
22,1,9,3646,-2
23,1,14,3642,-4
