Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,8,9,3854,-50
2,2,5,3848,-6
3,15,16,3844,-4
4,10,14,3828,-16
5,1,4,3826,-2
6,19,0,3806,-20
7,5,10,3804,-2
8,7,9,3780,-24
9,16,8,3778,-2
10,9,13,3774,-4
11,14,0,3766,-8
12,3,4,3730,-36
13,13,15,3726,-4
14,18,6,3722,-4
15,6,8,3720,-2
16,0,16,3714,-6
17,8,13,3712,-2
18,15,16,3702,-10
19,10,18,3700,-2
20,1,9,3686,-14
21,16,13,3666,-20
22,14,13,3652,-14
23,18,0,3644,-8
24,8,2,3642,-2
25,16,3,3640,-2
