Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,17,18,3884,-20
2,7,8,3820,-64
3,10,11,3816,-4
4,6,7,3770,-46
5,11,19,3760,-10
6,14,15,3758,-2
7,0,4,3746,-12
8,9,11,3736,-10
9,18,7,3728,-8
10,1,13,3722,-6
11,2,10,3706,-16
12,15,14,3702,-4
13,16,6,3696,-6
14,13,16,3692,-4
15,3,4,3690,-2
16,4,0,3684,-6
17,5,16,3672,-12
18,17,0,3664,-8
19,6,16,3650,-14
20,14,15,3648,-2
