Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,16,17,3872,-32
2,6,7,3860,-12
3,13,14,3854,-6
4,17,18,3828,-26
5,10,11,3822,-6
6,19,3,3816,-6
7,3,5,3782,-34
8,18,3,3774,-8
9,9,14,3760,-14
10,1,13,3758,-2
11,11,19,3728,-30
12,4,10,3722,-6
13,14,15,3716,-6
14,0,15,3704,-12
15,5,13,3702,-2
16,15,1,3700,-2
17,2,4,3692,-8
18,12,0,3690,-2
19,16,5,3662,-28
20,10,18,3660,-2
21,18,4,3656,-4
22,9,1,3640,-16
23,0,6,3634,-6
