Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,8,9,3949,-11
2,2,5,3945,-4
3,10,13,3925,-20
4,1,2,3904,-21
5,5,14,3901,-3
6,7,8,3897,-4
7,9,10,3891,-6
8,3,4,3869,-22
9,13,14,3864,-5
10,0,2,3851,-13
11,8,12,3846,-5
12,2,4,3837,-9
13,1,14,3830,-7
14,9,11,3818,-12
15,0,12,3810,-8
16,11,18,3803,-7
17,0,11,3802,-1
