Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,6,7,34900,-33
2,13,14,34777,-123
3,10,13,34582,-195
4,3,5,34164,-418
5,7,9,33936,-228
6,1,3,33915,-21
7,11,14,33646,-269
8,8,17,33445,-201
9,4,6,33032,-413
10,14,16,32628,-404
11,0,1,32563,-65
12,2,16,32309,-254
13,6,18,31960,-349
14,10,16,31957,-3
15,0,1,31732,-225
16,10,13,31658,-74
17,1,10,31621,-37
18,10,13,31370,-251
