Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,8,9,3949,-11
2,14,16,3943,-6
3,10,13,3933,-10
4,1,2,3919,-14
5,5,6,3900,-19
6,6,13,3890,-10
7,13,17,3872,-18
8,0,8,3852,-20
9,3,14,3849,-3
10,11,14,3840,-9
11,4,9,3836,-4
12,2,15,3833,-3
13,9,11,3823,-10
14,14,17,3820,-3
15,5,6,3814,-6
16,0,11,3813,-1
17,11,14,3810,-3
18,2,14,3807,-3
19,14,15,3803,-4
20,14,16,3802,-1
21,14,17,3797,-5
