Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,5,6,3937,-23
2,7,8,3913,-24
3,13,16,3912,-1
4,16,18,3907,-5
5,10,13,3900,-7
6,8,9,3886,-14
7,2,5,3874,-12
8,3,7,3860,-14
9,1,3,3850,-10
10,0,6,3846,-4
11,9,12,3845,-1
12,7,8,3841,-4
13,13,17,3831,-10
14,16,17,3827,-4
15,6,9,3824,-3
16,1,3,3816,-8
17,0,18,3814,-2
18,6,12,3809,-5
