Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,8,9,34897,-36
2,14,16,34293,-604
3,10,13,34132,-161
4,1,15,33889,-243
5,5,9,33817,-72
6,6,7,33733,-84
7,12,16,33345,-388
8,3,10,33340,-5
9,7,8,33033,-307
10,8,10,32703,-330
11,1,12,32536,-167
12,6,16,32488,-48
13,8,17,32309,-179
14,1,7,32044,-265
15,1,3,32020,-24
