Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,8,23,13842,-8
2,20,22,13837,-5
3,18,20,13829,-8
4,10,11,13803,-26
5,1,2,13793,-10
6,5,6,13757,-36
7,15,16,13731,-26
8,13,26,13717,-14
9,0,1,13707,-10
10,12,16,13672,-35
11,17,18,13665,-7
12,23,29,13658,-7
13,11,17,13651,-7
14,7,9,13628,-23
15,24,25,13622,-6
16,9,27,13616,-6
17,19,25,13614,-2
18,2,7,13602,-12
19,6,8,13597,-5
20,4,6,13592,-5
21,8,9,13572,-20
22,18,19,13563,-9
23,0,6,13558,-5
24,12,24,13542,-16
25,17,19,13536,-6
26,7,17,13535,-1
27,2,20,13531,-4
28,6,19,13528,-3
29,7,18,13522,-6
30,2,25,13519,-3
31,6,7,13484,-35
32,2,8,13476,-8
