Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,5,6,34785,-148
2,7,9,34769,-16
3,13,14,34297,-472
4,6,8,34231,-66
5,10,13,34091,-140
6,4,7,33932,-159
7,2,9,33737,-195
8,3,14,33690,-47
9,12,15,33492,-198
10,15,17,33436,-56
11,1,3,33277,-159
12,9,18,33239,-38
13,5,14,33040,-199
14,7,18,33035,-5
15,6,19,33001,-34
16,4,5,32861,-140
17,3,18,32822,-39
18,15,16,32707,-115
19,9,14,32611,-96
20,5,9,32569,-42
21,6,14,32305,-264
22,4,14,32285,-20
23,3,18,32272,-13
24,4,14,32237,-35
25,14,18,32120,-117
26,4,14,32022,-98
