Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,16,17,3946,-14
2,6,7,3941,-5
3,13,14,3940,-1
4,17,18,3913,-27
5,10,13,3908,-5
6,3,4,3872,-36
7,9,14,3860,-12
8,7,13,3856,-4
9,1,2,3838,-18
10,11,12,3836,-2
11,4,5,3829,-7
12,2,14,3823,-6
13,16,19,3815,-8
14,6,13,3802,-13
15,14,16,3799,-3
