Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,17,18,3938,-22
2,7,8,3914,-24
3,10,13,3913,-1
4,6,7,3887,-26
5,0,4,3871,-16
6,9,19,3870,-1
7,1,2,3866,-4
8,2,3,3850,-16
9,15,18,3841,-9
10,3,18,3830,-11
11,5,14,3826,-4
12,14,15,3824,-2
13,0,3,3823,-1
14,15,17,3822,-1
15,0,1,3811,-11
16,0,15,3797,-14
