Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,7,9,34913,-20
2,10,11,34752,-161
3,6,7,34685,-67
4,11,13,34454,-231
5,14,18,34392,-62
6,0,3,34369,-23
7,8,11,34334,-35
8,9,11,34121,-213
9,1,3,33866,-255
10,2,4,33856,-10
11,12,16,33520,-336
12,15,19,33294,-226
13,16,17,33019,-275
14,3,15,32836,-183
15,7,9,32441,-395
16,10,18,32229,-212
17,6,9,32080,-149
18,1,14,31867,-213
