Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,16,17,13827,-23
2,24,26,13821,-6
3,13,14,13814,-7
4,17,18,13773,-41
5,10,11,13770,-3
6,3,4,13768,-2
7,18,25,13758,-10
8,9,10,13739,-19
9,7,13,13728,-11
10,27,28,13688,-40
11,20,23,13681,-7
12,14,26,13665,-16
13,0,15,13659,-6
14,5,10,13658,-1
15,2,3,13637,-21
16,12,17,13628,-9
17,8,18,13624,-4
18,25,26,13618,-6
19,1,2,13616,-2
20,19,28,13581,-35
21,6,9,13575,-6
22,4,12,13565,-10
23,11,14,13563,-2
24,13,24,13553,-10
25,17,28,13545,-8
26,10,24,13543,-2
27,7,11,13540,-3
28,0,6,13531,-9
29,2,10,13526,-5
30,12,23,13521,-5
31,6,11,13508,-13
32,4,16,13491,-17
33,10,24,13488,-3
34,7,14,13484,-4
35,6,25,13475,-9
36,4,6,13469,-6
37,24,26,13468,-1
38,6,8,13465,-3
39,6,23,13456,-9
