Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,5,7,13835,-15
2,7,10,13822,-13
3,13,15,13803,-19
4,23,25,13797,-6
5,6,7,13788,-9
6,10,11,13772,-16
7,20,23,13765,-7
8,8,12,13751,-14
9,2,3,13737,-14
10,19,23,13733,-4
11,28,29,13725,-8
12,12,16,13708,-17
13,11,12,13700,-8
14,1,14,13691,-9
15,17,18,13671,-20
16,18,28,13668,-3
17,14,18,13636,-32
18,0,9,13617,-19
19,4,6,13614,-3
20,9,14,13598,-16
21,3,7,13591,-7
22,5,21,13590,-1
23,7,26,13589,-1
24,20,24,13571,-18
25,8,14,13563,-8
26,2,11,13538,-25
27,1,14,13520,-18
28,17,21,13517,-3
29,24,28,13516,-1
30,4,6,13514,-2
31,3,6,13508,-6
32,6,19,13502,-6
33,2,12,13486,-16
34,19,21,13484,-2
35,24,28,13481,-3
36,3,12,13480,-1
37,21,23,13477,-3
38,19,21,13467,-10
39,24,28,13460,-7
40,3,12,13456,-4
