Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,17,18,13811,-39
2,26,27,13718,-93
3,10,15,13707,-11
4,6,7,13706,-1
5,11,13,13705,-1
6,14,20,13693,-12
7,8,11,13685,-8
8,9,10,13682,-3
9,1,4,13667,-15
10,13,15,13644,-23
11,3,6,13643,-1
12,4,10,13632,-11
13,5,11,13623,-9
14,23,25,13614,-9
15,15,25,13594,-20
16,20,27,13587,-7
17,19,23,13579,-8
18,0,3,13576,-3
19,6,14,13574,-2
20,11,21,13572,-2
21,14,20,13567,-5
22,8,10,13564,-3
23,9,10,13557,-7
24,13,14,13542,-15
25,3,19,13537,-5
26,20,27,13536,-1
27,10,14,13527,-9
28,6,8,13524,-3
29,11,21,13520,-4
30,9,10,13515,-5
31,3,4,13501,-14
32,6,10,13497,-4
33,3,18,13494,-3
34,18,29,13492,-2
35,6,9,13485,-7
36,9,10,13481,-4
